id,Дата рождения,Вакансия,Технология,Локация,З/п в валюте найма,col,curenc
1,18.04.1994,Инженер-программист 2 категории,JS,Санкт-Петербург,"140 000,00 ₽",140000.00,₽
2,27.03.1993,Разработчик информационных систем,.NET,Москва,"130 000,00 ₽",130000.00,₽
3,24.11.1983,Java Developer,Java,Санкт-Петербург,"200 000,00 ₽",200000.00,₽
4,09.06.1989,Архитектор ПО,Java,Москва,"250 000,00 ₽",250000.00,₽
5,03.10.1978,QA Automation Engineer,QA,Санкт-Петербург,"172 413,00 ₽",172413.00,₽
6,21.08.1973,Big Data Developer,Big Data,Санкт-Петербург,"280 000,00 ₽",280000.00,₽
7,10.10.1991,JS Developer,JS,Москва,"129 000,00 ₽",129000.00,₽
8,16.08.1982,Разработчик мобильных приложений,Android,Москва,"185 000,00 ₽",185000.00,₽
9,16.05.1988,Инженер-программист 2 категории,.NET,Санкт-Петербург,"160 000,00 ₽",160000.00,₽
10,01.12.1990,Java Engineer,Java,Краков; Польша,"9 500,00 zł",9500.00,zł
11,04.02.1991,Инженер-программист,JavaScript,Москва,"170 000,00 ₽",170000.00,₽
12,11.02.1982,.NET Engineer,.NET,Гданьск; Польша,"12 000,00 zł",12000.00,zł
13,04.11.1988,JavaScript Engineer,JavaScript,Краков; Польша,"10 500,00 zł",10500.00,zł
14,09.04.1990,Software Engineer,JS,Вроцлав; Польша,"9 500,00 zł",9500.00,zł
15,16.03.1986,Head of Software Testing Department,QA,Санкт-Петербург,"375 000,00 ₽",375000.00,₽
16,30.08.1982,Java Developer,Java,Москва,"180 000,00 ₽",180000.00,₽
17,05.01.1984,Data / DWH Analyst,DB,Прага; Чехия,"60 000,00 Kč",60000.00,Kč
18,28.08.1995,JS Developer,JavaScript,Москва,"160 000,00 ₽",160000.00,₽
19,02.02.1972,Senior Software Engineer,BI,Санкт-Петербург,"200 000,00 ₽",200000.00,₽
20,21.09.1985,QA Engineer,QA,Санкт-Петербург,"135 000,00 ₽",135000.00,₽
21,06.07.1990,Разработчик интерфейсов,JavaScript,Санкт-Петербург,"113 000,00 ₽",113000.00,₽
22,13.11.1991,3D Artist,GameDev,Минск ,"$2 000,00",2000.00,$
23,03.02.1970,Senior Tester,QA,Санкт-Петербург,"145 000,00 ₽",145000.00,₽
24,29.10.1987,Инженер-программист,JavaScript,Санкт-Петербург,"190 000,00 ₽",190000.00,₽
25,05.03.1989,Big Data Developer,Scala,Санкт-Петербург,"250 000,00 ₽",250000.00,₽
26,29.12.1991,Разработчик информационных систем,.NET,Москва,"200 000,00 ₽",200000.00,₽
27,01.11.1991,Фронтенд разработчик,JavaScript,Санкт-Петербург,"300 000,00 ₽",300000.00,₽
28,09.10.1990,Java Developer,Java,Москва,"170 000,00 ₽",170000.00,₽
29,17.04.1992,Разработчик информационных систем,.NET,Москва,"190 000,00 ₽",190000.00,₽
30,12.11.1990,Big Data Developer,Big Data,Санкт-Петербург,"185 000,00 ₽",185000.00,₽
31,09.02.1992,Senior Java developer,Java,Санкт-Петербург,"264 367,82 ₽",264367.82,₽
32,19.12.1983,Game Designer,GameDev,Минск ,"$1 800,00",1800.00,$
33,26.09.1981,Java Developer,Java,Москва,"210 000,00 ₽",210000.00,₽
34,03.04.1994,iOS Developer,iOS,Санкт-Петербург,"184 000,00 ₽",184000.00,₽
35,23.12.1988,iOS Developer,iOS,Санкт-Петербург,"170 000,00 ₽",170000.00,₽
36,28.08.1977,BI Dev,BI,Санкт-Петербург,"161 000,00 ₽",161000.00,₽
37,04.05.1988,PHP Dev,PHP,Москва,"201 149,43 ₽",201149.43,₽
38,03.04.1990,JavaScript Engineer,JavaScript,Краков; Польша,"13 000,00 zł",13000.00,zł
39,10.06.1988, Senior Software Engineer,Java,София; Болгария,"lev6 446,00",6446.00,lev
40,17.02.1992,Test Automation Engineer,QA,Будапешт; Венгрия," Ft650 000,00",650000.00,Ft
41,27.05.1986,Специалист по продаже консалтинговых услуг,Sales,Москва,"150 000,00 ₽",150000.00,₽
42,10.10.1989,ASP.NET Developer,.NET,Санкт-Петербург,"165 000,00 ₽",165000.00,₽
43,26.07.1989,С++ Developer,C++,Москва,"206 896,00 ₽",206896.00,₽
44,04.01.1996, Software Developer,GameDev,Санкт-Петербург,"130 631,00 ₽",130631.00,₽
45,25.01.1978,С++ Developer,C++,Нижний Новгород,"100 000,00 ₽",100000.00,₽
46,25.10.1985,Senior Java developer,Java,Санкт-Петербург,"252 900,00 ₽",252900.00,₽
47,01.06.1979,Solution Architect,OpenStack,Минск,6000 $,6000,$
48,06.03.1989,JS Dev,JS,Санкт-Петербург,"200 000,00 ₽",200000.00,₽
49,04.07.1992,PHP Dev,PHP,Москва,"169 540,23 ₽",169540.23,₽
50,09.02.1985,Java Developer,Java,Москва,"300 000,00 ₽",300000.00,₽
51,04.08.1987,ASP.NET Dev,.NET,Москва,"180 000,00 ₽",180000.00,₽
52,26.12.1987,Senior Java Developer,Java,Санкт-Петербург,"210 000,00 ₽",210000.00,₽
53,07.02.1993,Android-разработчик,Android,Санкт-Петербург,"183 908,00 ₽",183908.00,₽
54,20.06.1991,Разработчик информационных систем,.NET,Москва,"150 000,00 ₽",150000.00,₽
55,04.11.1985,.NET Engineer,.NET,Чехия; Прага,"80 000,00 Kč",80000.00,Kč
56,08.01.1976,С++ Developer,С++ ,Атлон; Ирландия,"€ 3 212,00",3212.00,€
57,12.09.1986,Java Dev,Java,Атлон; Ирландия,"€ 4 000,00",4000.00,€
58,15.04.1989,JS Dev,JS,Атлон; Ирландия,"€ 2 980,00",2980.00,€
