КОПУК,Название,Адрес,Число дней работы парка (Единица),Общая площадь парка (Гектар),Число досуговых объектов: всего (Единица),Число досуговых объектов: требуют капитального ремонта  (Единица),Число досуговых объектов: работающие круглогодично (Единица),"Количество спортивных объектов (залов, площадок): в летний сезон (Единица)","Количество спортивных объектов (залов, площадок): в зимний сезон (Единица)",Прокат спортивного инвентаря: в летний сезон (Единица),Прокат спортивного инвентаря: в зимний сезон (Единица),"Число концертных площадок, павильонов (Единица)",Количество игровых объектов на детских площадках: в летний сезон (Единица),Количество игровых объектов на детских площадках: в зимний сезон (Единица),Количество посадочных мест в кафе и ресторанах: в летний сезон (Единица),Количество посадочных мест в кафе и ресторанах: в зимний сезон (Единица),Количество туалетов: в летний сезон (Единица),Количество туалетов: в зимний сезон (Единица),Наличие доступа в Интернет (Единица),Число культурно-массовых и физкультурно-оздоровительных мероприятий: всего (Единица),Численность работников: всего (Человек),Численность работников: штатных (Человек)
287595,ПКО Калининского района,"454016, Челябинская обл., город Челябинск, улица Чайковского, дом 185",365,44,8,,8,4,4,TRUE,TRUE,,,,,,,,TRUE,25,11,11
280882,Киреевский ГПКО,"Тульская обл., район Киреевский, город Киреевск, улица Титова",312,28,16,,7,5,4,TRUE,TRUE,3,9,10,50,50,2,2,TRUE,391,11,4
277127,Парковый комплекс г.Волоколамск,"143600, Московская обл., район Волоколамский, город Волоколамск, улица Революционная, строение 5",365,"16,5",4,,4,2,1,,,1,5,5,,,1,1,,19,11,11
280454,Ярцевский ГПКО,"Смоленская обл., район Ярцевский, город Ярцево, улица Максима Горького",281,7,12,4,1,2,,,,1,6,4,,,7,2,TRUE,131,11,10
277856,ПКО г.Каргата,"632402, Новосибирская обл., район Каргатский, город Каргат, улица Транспортная, дом 14",365,"4,2",,,,,,,,,2,5,,,1,1,,2,11,11
270132,Шипуновский ПКО,"658391, Алтайский край, район Шипуновский, село Шипуново, пр. Комсомольский, 91",247,3,5,,2,,1,,,1,4,,,,2,2,,14,11,11
281279,"Парк культуры и отдыха ""Северный очаг""","629850, Ямало-Ненецкий а.о., район Пуровский, город Тарко-Сале, улица Тарасова, дом 13А",365,"2,4",12,,12,,,,,1,5,5,,,1,1,,542,11,11
279090,Новошахтинский ГПКО,"346918, Ростовская обл., город Новошахтинск, улица Советская, дом 14",306,"34,5",19,1,4,4,4,TRUE,,1,44,44,,,3,3,TRUE,248,10,10
277057,"ПКО, Лобня","141730, Московская обл., город Лобня, улица Чехова, дом 5",365,"24,7",22,1,14,4,3,TRUE,TRUE,4,57,27,30,,5,2,TRUE,297,10,10
283700,Рузаевский ПКО,"431450, Респ. Мордовия, город Рузаевка, улица Терешковой, дом 45",365,"14,4",19,1,6,1,1,,TRUE,3,5,3,,,3,1,TRUE,89,10,10
271510,Парк Северный,"680013, Хабаровский край, город Хабаровск, улица Ленинградская, дом 30",365,"12,1",5,,5,1,1,,,,,,,,2,2,TRUE,,10,10
271370,Городской парк им.Ю.Гагарина,"680038, Хабаровский край, город Хабаровск, улица Дзержинского, дом 68",365,"5,2",,,,,,,,,,,,,,,,,10,10
279334,"ПКО, п.Целина","347760, Ростовская обл., район Целинский, поселок Целина, улица Советская, дом 10",365,"4,5",14,,3,,,,,1,15,15,,,2,1,,208,10,9
271559,Амурский дендрарий,"682640, Хабаровский край, город Амурск, проспект Мира, дом 14",248,107,4,,2,,,,,1,,,,,3,1,TRUE,1641,9,9
284277,"Культурно-спортивный центр ""Можга""","427791, Удмуртская Респ., город Можга, улица Устюжанина, дом 2",365,"10,8",26,,,4,3,,TRUE,4,21,18,,,8,6,TRUE,150,9,9
283503,"ГПКО, Волжск","Респ. Марий Эл, город Волжск, улица Ленина",365,"9,5",7,5,,1,2,TRUE,TRUE,1,10,10,,,2,2,TRUE,11,9,9
277771,"ПКО им.И.Коротеева, Искитим","633209, Новосибирская обл., город Искитим, улица Пушкина, дом 65",365,9,15,3,6,1,1,,,2,2,2,,,1,1,TRUE,100,9,9
278685,Лысьвенский ПКО им.Пушкина,"618900, Пермский край, город Лысьва, улица Мира, дом 46",365,8,7,1,6,4,1,,TRUE,2,10,5,50,50,2,1,TRUE,45,9,5
277377,Лотошинский ПКО,"Московская обл., район Лотошинский, рабочий поселок Лотошино, улица Заводская",365,7,7,,6,,,,,,32,32,20,,2,2,TRUE,148,9,9
271154,"ПКО им.С.Гуцериева, аул Хабез","Карачаево-Черкесская Респ., район Хабезский, аул Хабез, ул. Умара Хабекова",365,"4,9",13,,12,,,,,,12,,,,1,1,,,9,1
276548,Городской парк г.Ельца,"399770, Липецкая обл., город Елец, улица Коммунаров, дом 12А",365,"3,1",38,,3,1,2,,,3,1,2,150,120,3,1,TRUE,569,9,6
270147,"ПКО им.Горького, с.Мамонтово","658560, Алтайский край, район Мамонтовский, село Мамонтово, улица Советская, владение 142",110,3,12,,,,,,,1,3,,,,2,2,,13,9,1
273338,Бутурлиновский культурный центр,"397500, Воронежская обл., район Бутурлиновский, город Бутурлиновка, улица Красная, дом 46",313,2,2,,1,1,,,,1,1,,,,1,1,TRUE,161,9,2
282676,"Тырныаузский ПКО ""Солнышко""","361624, Кабардино-Балкарская Респ., район Эльбрусский, город Тырныауз, проспект Эльбрусский, дом 74",216,"0,5",5,3,2,,,,,,,,,,1,1,TRUE,5,9,5
284614,Алатырский ГПКО,"Чувашская Респ., город Алатырь, улица Комсомола",365,"118,4",46,6,39,8,8,,,1,31,27,,,,,TRUE,21,8,8
272138,Волоконовский ПКО,"Белгородская обл., район Волоконовский, поселок Волоконовка, улица Ленина",365,"28,6",40,,22,17,8,TRUE,TRUE,8,22,9,,,5,5,TRUE,922,8,3
280986,"ПКО, г.Узловая","301602, Тульская обл., район Узловский, город Узловая, улица 14 Декабря, дом 2",247,22,8,1,6,2,2,,,2,34,34,,,,,TRUE,130,8,8
271667,Объед.дирекция ГПКО г.Белогорска,"676850, Амурская обл., город Белогорск, улица Набережная, дом 166",217,11,5,,1,1,2,,TRUE,,1,1,,,1,,TRUE,103,8,8
278717,Мемориальный ботанический сад им.Г.А.Демидова,"618551, Пермский край, город Соликамск, улица Клары Цеткин, дом 22",365,"7,3",1,,,,,,,,,,,,2,2,TRUE,59,8,8
279122,Песчанокопский ПКО,"347570, Ростовская обл., район Песчанокопский, село Песчанокопское, улица Суворова, дом 2а",365,"6,8",13,1,1,2,1,,,,,,,,3,3,TRUE,146,8,8
275032,Тяжинский ПКО,"Кемеровская обл., район Тяжинский, село Старый Тяжин",250,3,3,1,1,1,,,,1,1,,,,2,2,TRUE,347,8,8
271169,"Детский парк ""Победы"" развл. и аттракц.","Карачаево-Черкесская Респ., город Черкесск, площадь Кирова",365,3,6,2,4,1,,,,,,,,,,,,10,8,8
283344,Усинский ПКО,"169711, Респ. Коми, город Усинск, улица Молодежная, дом 2",260,"1,2",5,1,3,,,,TRUE,1,19,9,,,5,5,TRUE,50,8,8
270518,"Хостинский филиал ПКО ""Ривьера-Сочи""","Краснодарский край, город Сочи, Хоста, ул. Платановая, 8а",365,"0,6",18,,,,,,,1,1,1,,,1,1,TRUE,131,8,8
283378,Объединение парков культуры и отдыха г.Симферополь,"Респ. Крым, город Симферополь, улица Киевская",365,36,7,,5,,,,,2,,,,,,,,12,7,7
272621,ПКО им.200-летия г.Александрова,"601650, Владимирская обл., район Александровский, город Александров, улица Советская, дом 12",365,"7,2",9,4,8,2,2,,,1,11,11,,,1,1,TRUE,43,7,7
281245,"ПКО""Винновская Роща""","432012, Ульяновская обл., город Ульяновск, проспект Гая, дом 32",365,"6,8",23,,1,1,1,,,2,12,17,45,1,4,2,TRUE,82,7,7
284417,ПКО им.Кадырова с.Ведено,"366337, Чеченская Респ., район Веденский, село Ведено, улица А.А.Кадырова, домовладение 1",318,"2,8",,,,,,,,,,,,,,,,87,7,7
277945,Тарский ПКО,"646530, Омская обл., район Тарский, город Тар��, улица Александровская, дом 84",360,"1,8",17,,11,1,1,,,4,11,12,40,20,3,2,TRUE,133,7,7
272481,Суражский городской центр культуры,"243500, Брянская обл., район Суражский, город Сураж, улица Ленина, дом 56",365,"1,6",4,2,1,,,,,2,6,,,,1,1,TRUE,68,7,7
271213,Левокумский ПКО,"357961, Ставропольский край, район Левокумский, село Левокумское, улица Дзержинского, дом 25",247,"0,2",8,3,1,3,2,,,2,1,1,,,2,2,,165,7,7
275583,Шарьинский ПКО,"Костромская обл., район Шарьинский, город Шарья, улица Ленина",356,"33,8",5,,5,,,,TRUE,1,27,29,32,,8,4,,50,6,6
272890,Михайловский ГПКО им.М.М.Смехова,"Волгоградская обл., город Михайловка, площадь Конституции",365,"21,3",4,1,1,,,,,2,21,,,,4,1,TRUE,160,6,6
284667,Шумерлинский ГПКО,"429122, Чувашская Респ., город Шумерля, улица Комсомольская, дом 5",312,"17,2",14,,7,3,3,,TRUE,2,20,20,,,1,,TRUE,78,6,6
273107,"ПКО ""Ветеранов труда"", Вологда","Вологодская обл., район Вологодский, город Вологда, улица Некрасова",365,"13,7",20,1,3,,,,,10,20,10,,,2,2,TRUE,34,6,4
278261,Мценский ПКО,"303035, Орловская обл., город Мценск, улица Гагарина, дом 70/1",365,"10,9",35,1,9,7,2,TRUE,TRUE,2,7,8,320,100,5,1,TRUE,136,6,6
272176,Алексеевский ПКО,"Белгородская обл., район Алексеевский, город Алексеевка, ул. Фрунзе, 66а",365,"8,2",29,,9,1,1,TRUE,TRUE,2,16,16,450,200,5,5,TRUE,398,6,6
272316,Локотской ПКО,"Брянская обл., район Брасовский, рабочий поселок Локоть, улица Советская",263,6,3,,,,,,,1,14,,,,1,1,,136,6,6
273287,"ГПКО, Лиски","397900, Воронежская обл., район Лискинский, город Лиски, улица Трудовые Резервы, дом 70",166,"4,9",34,,3,,,,TRUE,1,2,,500,,2,1,TRUE,96,6,6
270999,"Парк культуры и отдыха ""Вербилки""","141930, Московская обл., район Талдомский, рабочий поселок Вербилки, улица Советская, дом 11",365,2,5,,5,3,,,,1,11,11,,,2,2,TRUE,150,6,6
284397,"ПКО им.Азимова, Надтеречное","366809, Чеченская Респ., район Надтеречный, село Надтеречное, улица Ленина, владение 30",250,"1,8",10,,10,5,5,,,,,,,,2,2,,61,6,6
277240,Клинский ПКО,"Московская обл., район Клинский, город Клин, проезд Тверской",365,33,25,,23,10,8,TRUE,,2,55,47,,,1,1,TRUE,196,5,5
272424,"ГПКО им.Уральских добровольцев, Унеча","Брянская обл., район Унечский, город Унеча, улица Транспортная",250,"14,5",4,,3,,,,,1,,,,,,,TRUE,118,5,5
273910,Черемховский ПКО,"665413, Иркутская обл., город Черемхово, улица Ленина, дом 30",247,14,1,,,,,,,1,6,6,,,1,1,TRUE,118,5,5
272023,"СКЦ ""Досуг"" станицы Новодеревянковской","353710, Краснодарский край, район Каневской, станица Новодеревянковская, улица Мира, дом 22",247,"13,5",21,,21,1,1,,,1,4,4,,,1,1,,56,5,1
280376,Холм-Жирковский парк графа Уварова,"215650, Смоленская обл., район Холм-Жирковский, поселок городского типа Холм-Жирковский, улица Героя Соколова, дом 8",365,10,1,,,,,,,,,,,,,,,32,5,5
282801,"ПКО ""Дружба"", Элиста","358000, Респ. Калмыкия, город Элиста, улица В.И.Ленина, дом 220Б",111,"8,7",1,,,,,,,1,,,,,1,1,TRUE,79,5,5
271192,"ПКО, Минеральные Воды","357203, Ставропольский край, район Минераловодский, город Минеральные Воды, проспект Карла Маркса, владение 54",183,"2,7",11,1,10,,,,,1,,,,,1,1,TRUE,48,5,5
271493,Бикинский ПКО,"Хабаровский край, город Бикин, улица Октябрьская",247,"2,4",7,,,,,,,2,4,4,16,16,1,1,TRUE,109,5,5
281160,Парк культуры и отдыха г.Ноябрьск,"629809, Ямало-Ненецкий а.о., город Ноябрьск, улица Энтузиастов, дом 43",365,,,,,,,,,,,,,,,,,1,5,5
277038,"ПКО, Ивантеевка","141282, Московская обл., город Ивантеевка, проспект Советский, дом 26",365,"39,4",3,,2,2,1,,,,23,23,,,,,,40,4,4
277184,Городской парк г.Кашира,"142903, Московская обл., город Кашира, улица Ленина, дом 2",365,"37,6",35,,26,28,5,TRUE,TRUE,2,14,12,,,3,3,TRUE,63,4,4
272871,"Парк культуры и отдыха ""Новый город"" г.Волжский","404109, Волгоградская обл., город Волжский, проспект Дружбы, дом 48б",249,"30,8",,,,,,,,,5,5,,,,,,20,4,4
277822,"ПКО ""Михайловская набережная""","630091, Новосибирская обл., город Новосибирск, проспект Красный, дом 50",365,"17,7",65,,1,1,1,TRUE,TRUE,1,,15,150,80,4,3,TRUE,59,4,4
279813,ПКО им.А.Сулина,"346357, Ростовская обл., район Красносулинский, город Красный Сулин, улица Фурманова, дом 2",183,12,11,,2,3,2,,,3,2,2,16,,1,,TRUE,73,4,4
277042,Парки Электростали,"144003, Московская обл., город Электросталь, улица Чернышевского, дом 38",153,"10,7",,,,,,,,,,,,,,,,,4,4
284463,Аргунский ПКО,"Чеченская Респ., город Аргун, улица Заводская",295,"10,6",1,1,,,,,,,,,,,,,,5,4,4
273164,Великоустюгский ПКО им.М.М.Булдакова,"Вологодская обл., район Великоустюгский, город Великий Устюг, проспект Советский",269,6,17,4,3,3,4,,,2,10,7,,,1,1,TRUE,122,4,4
272195,"ПКО, п.Прохоровка","309000, Белгородская обл., район Прохоровский, поселок городского типа Прохоровка, улица Советская, дом 256",320,"3,4",25,,8,,,,,1,15,,,,1,1,,260,4,4
280219,Тавдинский ГПКО,"Свердловская обл., город Тавда, улица Ленина",365,"3,3",25,,12,7,2,TRUE,TRUE,3,16,21,,,3,3,TRUE,254,4,4
277432,ДПКО г.Климовска,"142181 Московская обл., город Климовск, Заводская, 4",365,"2,1",4,,2,1,1,,,,15,15,,,2,2,,21,4,4
284652,Канашский ГПКО,"Чувашская Респ., город Канаш, улица 30 лет Победы",365,"46,9",8,,3,3,3,TRUE,TRUE,2,4,2,800,500,2,2,TRUE,51,3,3
280030,Пышминский ПКО,"Свердловская обл., район Пышминский, рабочий поселок Пышма, улица Куйбышева",299,25,6,,,2,2,,TRUE,2,2,1,,,4,4,,11,3,3
277447,"ГПКО, Коломна","Московская обл., город Коломна, улица Гагарина",365,24,5,,2,3,1,TRUE,,1,2,2,100,70,,,TRUE,50,3,3
274970,Мариинский ГПКО,"Кемеровская обл., район Мариинский, город Мариинск, улица Ленина",289,"8,3",13,,6,5,2,,,6,1,3,52,20,4,4,TRUE,278,3,3
274449,Парк культуры им.М.Беккера,"Калининградская обл., район Зеленоградский, поселок Янтаровка, улица Советская, 40",365,"7,4",2,,2,2,,TRUE,,,,,,,,,,18,3,3
272443,Почепский ГПКО,"243400, Брянская обл., район Почепский, город Почеп, улица Первомайская, дом 2",284,4,16,,,1,,,,2,16,16,,,1,1,TRUE,10,3,3
282727,"ГПКО, г.Терек","361203, Кабардино-Балкарская Респ., район Терский, город Терек, улица Карданова, дом 64",320,3,1,,,,,,,1,,,,,,,,25,3,3
271027,Городской парк г.Дрезна,"Московская обл., район Орехово-Зуевский, город Дрезна, улица Революции",365,"2,7",5,,5,,,,,1,11,5,,,1,,,115,3,3
272462,Парк культуры и отдыха им.А.И. Рубца г.Стародуба,"243240, Брянская обл., район Дятьковский, город Стародуб, улица Калинина, дом 8, корпус А",365,"2,6",12,,2,1,1,,,1,6,5,,,,,TRUE,490,3,3
271328,Карачаевский ПКО,"369200, Карачаево-Черкесская Респ., город Карачаевск, улица Магометова, дом 1",142,1,2,,,,,,,1,2,,,,,,,12,3,1
281654,Пластовский ГПКО,"457020, Челябинская обл., район Пластовский, город Пласт, улица Правды, дом 2А",155,25,15,,,3,2,,,1,33,29,,,3,3,TRUE,71,2,2
281156,Парк культуры и отдыха им.В.Ф.Козлова,"629736, Ямало-Ненецкий а.о., город Надым, улица Строителей, дом 5/1",365,16,5,,2,,,,,,16,16,,,1,,TRUE,519,2,2
280933,Парк культуры и отдыха г.Суворова,"301430, Тульская обл., район Суворовский, город Суворов, улица Парковая, дом 12А",291,12,5,,,1,1,,TRUE,1,9,,,,2,2,,61,2,2
271991,"ЦГПКО ""Аркадия"", Астрахань","414006, Астраханская обл., город Астрахань, переулок Калинина, дом 47",170,"4,6",13,,,,,,,2,,,,,2,1,,,2,2
274006,Парк культуры и отдыха п.Ивня,"Белгородская обл., район Ивнянский, рабочий поселок Ивня, улица Советская",312,4,11,,8,3,2,,,2,23,23,30,,2,2,,327,2,2
275441,"Мантуровский ПКО ""Сказка""","157300, Костромская обл., район Мантуровский, город Мантурово, улица Богдана Хмельницкого, дом 13а",365,3,5,2,4,3,,,,2,5,5,,,2,2,TRUE,39,2,2
277023,Городские парки г.Звенигорода,"143185, Московская обл., город Звенигород, улица Пролетарская, дом 53",365,"1,8",1,,1,,,,,,2,2,,,,,,14,2,2
270984,Парк культуры и отдыха поселения Серебряные Пруды,"Московская обл., рабочий поселок Серебряные Пруды, ул. Первомайская",361,"18,6",5,,1,2,,,,1,4,4,,,3,1,,36,1,1
278596,"ЦПКО, Каменка","Пензенская обл., район Каменский, город Каменка, улица Чернышевского",120,16,1,1,,,,,,1,,,,,1,1,,61,1,1
278492,РДК Пачелмского р-на,"442114, Пензенская обл., район Пачелмский, село Пачелма, улица Драгунова, дом 14",92,8,3,,,2,,,,1,1,,,,1,,,25,1,1
277428,ГПКО им.Ю.Гагарина,"140700, Московская обл., район Шатурский, город Шатура, площадь Ленина, дом 4",362,8,6,,4,3,1,,,1,19,20,130,130,1,1,TRUE,18,1,1
274025,"Парк ""Победы"" в МК ""Прохоровское поле""","309000, Белгородская обл., район Прохоровский, поселок городского типа Прохоровка, улица Советская, дом 130",365,"6,8",,,,,,,,,,,,,,,,,1,1
272994,ПКО им.Ленина г.Бирюч,", Белгородская обл., район Красногвардейский, город Бирюч, улица 9 Января, дом 51А",239,4,8,1,,,,,,1,1,,,,1,,,150,1,1
270965,"Детский парк ""Артемка""","Приморский край, город Артем, улица Кирова",110,"3,6",17,,,,,,,,,,,,,,,8,1,1
283452,Сернурский парк культуры и отдыха,"425450, Респ. Марий Эл, район Сернурский, поселок городского типа Сернур, улица Комсомольская, дом 2",244,"1,8",,,,,,,,,,,,,,,,121,1,1
280280,ПКО г.Красноуфимск,"Свердловская обл., город Красноуфимск, улица Интернациональная",,"1,3",18,,,2,,,,1,2,,,,1,,TRUE,,1,1
281067,Урайский ГПКО,"Ханты-Мансийский а.о-Югра, город Урай, ул. Ленина, 60",98,"1,3",4,,,,,,,1,2,,,,1,1,,145,1,1
280134,"ЦКДД ""Искра"" п.Бисерть","623050, Свердловская обл., район Нижнесергинский, рабочий поселок Бисерть, улица Ленина, дом 23",297,"0,8",2,,2,,,,TRUE,1,5,5,,,,,TRUE,11,1,1
277979,Русско-Полянский ПКО,"Омская обл., район Русско-Полянский, рабочий поселок Русская Поляна, улица Ленина",123,"0,7",2,1,,,,,,1,2,,,,2,,,23,1,1
280308,"Гор.центр досуга ""Азов"" г.Полевской","Свердловская обл., город Полевской, улица Свердлова",365,10,4,,,2,2,,,,21,18,,,,,,8,,
272848,"ЦПКО, Волгоград","400005, Волгоградская обл., город Волгоград, улица Батальонная, дом 4",365,"2,9",8,,5,,,,,1,12,12,,,1,1,TRUE,,,
273094,Отдых-центр,"400005, Волгоградская обл., город Волгоград, улица Советская, дом 27",273,"2,6",3,,,1,,TRUE,,2,,,,,2,,TRUE,,,
278539,Мокшанский ПКО,"442370, Пензенская обл., район Мокшанский, рабочий поселок Мокшан, улица Садовая, дом 1",,1,,,,,,,,,,,,,,,,,,
280123,Парк культуры и отдыха им.1 Мая п.Арти,"623340, Свердловская обл., район Артинский, рабочий поселок Арти, улица Ленина, дом 100",135,"0,5",1,,,,,,,1,,,30,,2,,,70,,