link,count,city
https://vk.com/sum_moscow,16948,
https://vk.com/nsu24,19466,
https://vk.com/rsuj_moscow,20156,
https://vk.com/permuniversity,22709,
https://vk.com/official_volsu,19289,Волгоград
https://vk.com/mirea_official,23485,
https://vk.com/mi.university,10696,
https://vk.com/officialmarsu,11396,Йошкар-Ола
https://vk.com/tpunews,23991,Томск
https://vk.com/rumgpu,18468,Москва
https://vk.com/pnzgu,14869,
https://vk.com/svfuniver,13878,
https://vk.com/rsukosygin,15515,Москва
https://vk.com/pimunn,15156,Нижний Новгород
https://vk.com/omskpoliteh,15211,
https://vk.com/tyumen.university,26684,
https://vk.com/volggtu,8332,
https://vk.com/mosvitte,10336,Москва
https://vk.com/bashkiruniversity,10416,
https://vk.com/sevsu,13007,Севастополь
https://vk.com/permsma,13099,
https://vk.com/eusporg,12011,Санкт-Петербург
https://vk.com/beluniversity,9231,
https://vk.com/tmbstu,8946,
https://vk.com/univer_mitso,9839,Минск
https://vk.com/lobachevsky_university,9840,
https://vk.com/samgups.official,7817,
https://vk.com/nmstu,8102,Магнитогорск
https://vk.com/rutmiitvk,27826,
https://vk.com/pgpuspb,37994,
https://vk.com/finuniversity,48321,Москва
https://vk.com/itmoru,45072,Санкт-Петербург
https://vk.com/rudn_university,48661,Москва
https://vk.com/free_university_ekb,821,Екатеринбург
https://vk.com/ural.federal.university,46549,
https://vk.com/kazan_federal_university,46365,Казань
https://vk.com/mgimo,35789,
https://vk.com/tomskuniversity,36093,Томск
https://vk.com/siberianfederal,33498,
https://vk.com/bsu_by,32417,Минск
https://vk.com/club11701686,845,Братск
https://vk.com/donstu,32025,Ростов-на-Дону
https://vk.com/kubsau,31615,
https://vk.com/csu76,31658,
https://vk.com/svgu_ru,1327,
https://vk.com/official_public_bru,1516,Могилёв
https://vk.com/ivsu_37,2589,
https://vk.com/sfedu_official,34833,
https://vk.com/industrial_u,26287,
https://vk.com/ulsu_ulgu,14619,Ульяновск
https://vk.com/university_tvgu,12432,Тверь
https://vk.com/kursksu,13404,Курск
https://vk.com/kazatukz,13200,
https://vk.com/msal_ru,11927,
https://vk.com/sofedu,11337,Ростов-на-Дону
https://vk.com/irkutskuniversity,11518,Иркутск
https://vk.com/chsu35,12330,
https://vk.com/vogu35,12014,
https://vk.com/ursmu_ru,12818,Екатеринбург
https://vk.com/tuvgosuniver,10088,Кызыл
https://vk.com/khsu_ru,9580,
https://vk.com/mheu_official,9687,Москва
https://vk.com/kemgma,9544,
https://vk.com/vgtu_tip,9404,
https://vk.com/surgu,8211,Сургут
https://vk.com/vggu_kirov,7450,Киров
https://vk.com/mrsu13,8535,Саранск